실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,15,5,-0.6598533392,1.917943001,1.181774974,2.902346611,-3.537183285,0.1484718621
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,15,6,-0.6655130386,1.930754185,1.193113923,2.902347803,-3.537184,0.1493216008
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,15,7,-0.6655130386,1.930754185,1.193113923,2.902347803,-3.537184,0.1493216008
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,15,8,-0.6710425615,1.945801377,1.179708719,2.902346134,-3.537183285,0.1482408792
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,15,9,-0.6710425615,1.945801377,1.179708719,2.902346134,-3.537183285,0.1482408792
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,15,10,-0.6887180805,1.952228785,1.189483523,2.90234971,-3.537184954,0.1507916152
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,16,1,-0.7620409727,1.948481441,1.252186656,2.902349234,-3.537184715,0.1504615396
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,16,2,-0.7528653145,1.962142944,1.224570751,2.902353764,-3.537186861,0.1535784155
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,16,3,-0.7528653145,1.962142944,1.224570751,2.902353764,-3.537186861,0.1535784155
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,16,4,-0.7421486974,1.966529131,1.182317019,2.902347326,-3.537183762,0.1490742117
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,16,5,-0.7421486974,1.966529131,1.182317019,2.902347326,-3.537183762,0.1490742117
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,16,6,-0.7440949082,1.969026566,1.163624763,2.902348518,-3.537184238,0.149866879
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,16,7,-0.7440949082,1.969026566,1.163624763,2.902348518,-3.537184238,0.149866879
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,16,8,-0.7180271149,1.992838979,1.174658418,2.902349234,-3.537184715,0.1504722834
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,16,9,-0.7180271149,1.992838979,1.174658418,2.902349234,-3.537184715,0.1504722834
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,16,10,-0.7160469294,1.986352444,1.157353878,2.90235424,-3.537187099,0.1538314223
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,17,1,-0.7835608125,1.966195583,1.273611069,2.902348757,-3.537184477,0.1499753296
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,17,2,-0.7835608125,1.966195583,1.273611069,2.902348757,-3.537184477,0.1499753296
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,17,3,-0.8451535702,1.850973129,1.267383099,2.902340889,-3.537180424,0.1444757581
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,17,4,-0.8451535702,1.850973129,1.267383099,2.902340889,-3.537180424,0.1444757581
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,17,5,-0.8013714552,1.919965982,1.292909503,2.902345181,-3.53718257,0.1475668699
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,17,6,-0.8013714552,1.919965982,1.292909503,2.902345181,-3.53718257,0.1475668699
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,17,7,-0.7399363518,2.034809828,1.280762553,2.902350187,-3.537185192,0.151039198
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,17,8,-0.7399363518,2.034809828,1.280762553,2.902350187,-3.537185192,0.151039198
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,17,9,-0.7213101983,2.059122801,1.239401102,2.902349949,-3.537185192,0.1509598494
